KEY_CODE,HYOSYO,CITYNAME,NAME,人口総数,男,女,世帯総数
121010311,3,千葉市中央区,蘇我,8728,4484,4244,3975
12101031101,4,千葉市中央区,蘇我一丁目,1714,893,821,1038
12101031102,4,千葉市中央区,蘇我二丁目,1272,647,625,577
12101031103,4,千葉市中央区,蘇我三丁目,2221,1144,1077,924
12101031104,4,千葉市中央区,蘇我四丁目,1491,761,730,532
12101031105,4,千葉市中央区,蘇我五丁目,2030,1039,991,904
121010312,2,千葉市中央区,蘇我町,10,6,4,7
121010320,2,千葉市中央区,大巌寺町,1834,1004,830,1069
121010330,2,千葉市中央区,千葉寺町,7188,3448,3740,3373
121010340,2,千葉市中央区,千葉港,3489,1697,1792,1420
121010350,3,千葉市中央区,中央,2796,1385,1411,1690
12101035001,4,千葉市中央区,中央一丁目,640,318,322,370
12101035002,4,千葉市中央区,中央二丁目,371,203,168,250
12101035003,4,千葉市中央区,中央三丁目,1349,661,688,782
12101035004,4,千葉市中央区,中央四丁目,436,203,233,288
121010360,3,千葉市中央区,中央港,2878,1317,1561,1215
12101036001,4,千葉市中央区,中央港一丁目,2875,1316,1559,1214
12101036002,4,千葉市中央区,中央港二丁目,3,1,2,1
121010370,3,千葉市中央区,椿森,5256,2567,2689,3081
12101037001,4,千葉市中央区,椿森一丁目,1338,641,697,872
12101037002,4,千葉市中央区,椿森二丁目,914,429,485,463
12101037003,4,千葉市中央区,椿森三丁目,1245,653,592,697
12101037004,4,千葉市中央区,椿森四丁目,218,90,128,129
12101037005,4,千葉市中央区,椿森五丁目,720,366,354,487
12101037006,4,千葉市中央区,椿森六丁目,821,388,433,433
121010380,2,千葉市中央区,鶴沢町,943,471,472,484
121010390,2,千葉市中央区,出洲港,1064,586,478,663
121010400,2,千葉市中央区,問屋町,3845,1886,1959,1574
121010410,2,千葉市中央区,道場北町,-,-,-,-
121010420,3,千葉市中央区,道場北,2321,1173,1148,1492
12101042001,4,千葉市中央区,道場北一丁目,1325,689,636,875
12101042002,4,千葉市中央区,道場北二丁目,996,484,512,617
121010430,3,千葉市中央区,道場南,2263,1098,1165,1124
12101043001,4,千葉市中央区,道場南一丁目,1232,588,644,580
12101043002,4,千葉市中央区,道場南二丁目,1031,510,521,544
121010440,3,千葉市中央区,長洲,3199,1513,1686,2030
12101044001,4,千葉市中央区,長洲一丁目,1669,805,864,1144
12101044002,4,千葉市中央区,長洲二丁目,1530,708,822,886
121010450,2,千葉市中央区,新浜町,-,-,-,-
121010460,3,千葉市中央区,仁戸名町,8239,3995,4244,3641
12101046001,4,千葉市中央区,仁戸名町,3739,1880,1859,1647
12101046002,4,千葉市中央区,仁戸名町,4500,2115,2385,1994
121010470,3,千葉市中央区,登戸,6344,3067,3277,3641
12101047001,4,千葉市中央区,登戸一丁目,1426,697,729,934
12101047002,4,千葉市中央区,登戸二丁目,1043,486,557,628
12101047003,4,千葉市中央区,登戸三丁目,1357,661,696,710
12101047004,4,千葉市中央区,登戸四丁目,1022,479,543,594
12101047005,4,千葉市中央区,登戸五丁目,1496,744,752,775
121010480,2,千葉市中央区,花輪町,908,461,447,386
121010490,2,千葉市中央区,浜野町,6908,3545,3363,3087
121010500,3,千葉市中央区,東千葉,4040,1912,2128,1985
12101050001,4,千葉市中央区,東千葉一丁目,1223,587,636,621
12101050002,4,千葉市中央区,東千葉二丁目,2317,1096,1221,1135
12101050003,4,千葉市中央区,東千葉三丁目,500,229,271,229
121010510,2,千葉市中央区,東本町,713,332,381,328
121010520,3,千葉市中央区,富士見,251,112,139,152
12101052001,4,千葉市中央区,富士見一丁目,202,89,113,119
12101052002,4,千葉市中央区,富士見二丁目,49,23,26,33
121010530,3,千葉市中央区,弁天,4751,2422,2329,3025
12101053001,4,千葉市中央区,弁天一丁目,1551,786,765,1028
12101053002,4,千葉市中央区,弁天二丁目,1187,584,603,741
12101053003,4,千葉市中央区,弁天三丁目,1059,556,503,660
12101053004,4,千葉市中央区,弁天四丁目,954,496,458,596
121010550,2,千葉市中央区,星久喜町,6487,3308,3179,2953
121010560,2,千葉市中央区,本千葉町,1025,519,506,685
121010570,3,千葉市中央区,本町,1890,897,993,1199
12101057001,4,千葉市中央区,本町一丁目,619,297,322,415
12101057002,4,千葉市中央区,本町二丁目,841,386,455,480
12101057003,4,千葉市中央区,本町三丁目,430,214,216,304
121010580,2,千葉市中央区,松ケ丘町,2884,1476,1408,1252
121010590,3,千葉市中央区,松波,5193,2579,2614,3201
